Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-10-18,443,1082665,8,18084
2021-10-19,262,1082927,4,18088
2021-10-20,871,1083798,6,18094
2021-10-21,967,1084765,4,18098
2021-10-22,885,1085650,8,18106
2021-10-23,951,1086601,8,18114
2021-10-24,992,1087593,4,18118
2021-10-25,532,1088125,3,18121
2021-10-26,262,1088387,5,18126
2021-10-27,1025,1089412,3,18129
2021-10-28,1009,1090421,3,18132
2021-10-29,944,1091365,5,18137
2021-10-30,930,1092295,4,18141
2021-10-31,964,1093259,4,18145
2021-11-01,647,1093906,1,18146
2021-11-02,367,1094273,5,18151
2021-11-03,421,1094694,11,18162
2021-11-04,1243,1095937,6,18168
2021-11-05,1367,1097304,6,18174
2021-11-06,1287,1098591,8,18182
2021-11-07,1284,1099875,4,18186
2021-11-08,852,1100727,5,18191
2021-11-09,492,1101219,5,18196
2021-11-10,1339,1102558,9,18205
2021-11-11,1643,1104201,5,18210
2021-11-12,1512,1105713,8,18218
2021-11-13,1693,1107406,7,18225
2021-11-14,1765,1109171,7,18232
2021-11-15,1184,1110355,15,18247
2021-11-16,825,1111180,9,18256
2021-11-17,1977,1113157,10,18266
2021-11-18,2438,1115595,11,18277
2021-11-19,2456,1118051,13,18290
2021-11-20,2331,1120382,4,18294
2021-11-21,2615,1122997,12,18306
2021-11-22,1825,1124822,11,18317
2021-11-23,1302,1126124,18,18335
2021-11-24,2817,1128941,14,18349
2021-11-25,3736,1132677,15,18364
2021-11-26,3138,1135815,15,18379
2021-11-27,3249,1139064,11,18390
2021-11-28,3392,1142456,10,18400
2021-11-29,2476,1144932,12,18412
2021-11-30,1476,1146408,15,18427
2021-12-01,3332,1149740,12,18439
2021-12-02,4483,1154223,15,18454
2021-12-03,2534,1156757,14,18468
2021-12-04,3561,1160318,22,18490
2021-12-05,4654,1164972,24,18514
2021-12-06,3336,1168308,21,18535
2021-12-07,1962,1170270,14,18549
2021-12-08,4058,1174328,23,18572
2021-12-09,5194,1179522,15,18587
2021-12-10,3068,1182590,23,18610
2021-12-11,4280,1186870,12,18622
2021-12-12,5181,1192051,20,18642
2021-12-13,3548,1195599,13,18655
2021-12-14,2090,1197689,16,18671
2021-12-15,4333,1202022,13,18684
2021-12-16,5790,1207812,11,18695
2021-12-17,5283,1213095,20,18715
2021-12-18,4728,1217823,24,18739
2021-12-19,5289,1223112,13,18752
2021-12-20,3727,1226839,23,18775
2021-12-21,2577,1229416,21,18796
2021-12-22,6264,1235680,16,18812
2021-12-23,8643,1244323,8,18820
2021-12-24,10150,1254473,18,18838
2021-12-25,13158,1267631,11,18849
2021-12-26,9307,1276938,10,18859
2021-12-27,3316,1280254,14,18873
2021-12-28,5744,1285998,16,18889
2021-12-29,17909,1303907,20,18909
2021-12-30,26286,1330193,11,18920
2021-12-31,29353,1359546,14,18934
2022-01-01,32075,1391621,17,18951
2022-01-02,22808,1414429,23,18974
2022-01-03,10656,1425085,16,18990
2022-01-04,10597,1435682,13,19003
2022-01-05,27992,1463674,12,19015
2022-01-06,40323,1503997,15,19030
2022-01-07,40885,1544882,25,19055
2022-01-08,41059,1585941,18,19073
2022-01-09,38587,1624528,17,19090
2022-01-10,28272,1652800,25,19115
2022-01-11,18516,1671316,21,19136
2022-01-12,36017,1707333,27,19163
2022-01-13,43323,1750656,19,19182
2022-01-14,42384,1793040,21,19203
2022-01-15,43198,1836238,35,19238
2022-01-16,42147,1878385,34,19272
2022-01-17,33787,1912172,36,19308
2022-01-18,22750,1934922,35,19343
2022-01-19,47054,1981976,41,19384
2022-01-20,56012,2037988,34,19418
2022-01-21,59768,2097756,32,19450
2022-01-22,62189,2159945,47,19497
2022-01-23,61389,2221334,46,19543
2022-01-24,47949,2269283,32,19575
2022-01-25,34027,2303310,48,19623
2022-01-26,61132,2364442,49,19672
2022-01-27,69155,2433597,42,19714
2022-01-28,69624,2503221,37,19751
2022-01-29,67073,2570294,43,19794
2022-01-30,62241,2632535,36,19830
2022-01-31,47399,2679934,35,19865
2022-02-01,28902,2708836,50,19915
2022-02-02,53311,2762147,62,19977
2022-02-03,57322,2819469,54,20031
2022-02-04,53240,2872709,59,20090
2022-02-05,50124,2922833,45,20135
2022-02-06,44005,2966838,45,20180
2022-02-07,32648,2999486,53,20233
2022-02-08,17485,3016971,37,20270
2022-02-09,32550,3049521,40,20310
2022-02-10,36034,3085555,51,20361
2022-02-11,29346,3114901,42,20403
2022-02-12,25631,3140532,42,20445
2022-02-13,20654,3161186,50,20495
2022-02-14,16742,3177928,38,20533
2022-02-15,8791,3186719,37,20570
2022-02-16,19349,3206068,54,20624
2022-02-17,21213,3227281,47,20671
2022-02-18,17635,3244916,41,20712
2022-02-19,16662,3261578,51,20763
2022-02-20,15018,3276596,35,20798
2022-02-21,9919,3286515,39,20837
2022-02-22,6123,3292638,31,20868
2022-02-23,14331,3306969,27,20895
2022-02-24,19381,3326350,28,20923
2022-02-25,12488,3338838,20,20943
2022-02-26,11463,3350301,30,20973
2022-02-27,10646,3360947,31,21004
2022-02-28,7633,3368580,37,21041
2022-03-01,4341,3372921,29,21070
2022-03-02,11861,3384782,21,21091
2022-03-03,10424,3395206,27,21118
2022-03-04,13048,3408254,27,21145
2022-03-05,15656,3423910,25,21170
